Index,SMILES
0,Clc1ccc2c3c(cccc13)CC2
1,Clc1cc2c3c(cccc3c1)CC2
2,Clc1cc2c3c(cccc3c1Cl)CC2
3,Clc1ccc2cccc3c2c1CC3
4,Clc1cc(Cl)c2cccc3c2c1CC3
5,Clc1cc2cccc3c2c(c1Cl)CC3
6,Clc1c(Cl)c2c3c(cccc3c1Cl)CC2
7,Clc1ccc2c3c(ccc(Cl)c13)CC2
8,Clc1cc2c3c(ccc(Cl)c3c1)CC2
9,Clc1cc2c3c(ccc(Cl)c3c1Cl)CC2
10,Clc1ccc2c(Cl)ccc3c2c1CC3
11,Clc1cc(Cl)c2c(Cl)ccc3c2c1CC3
12,Clc1cc2c(Cl)ccc3c2c(c1Cl)CC3
13,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)CC2
14,Clc1cc2c3c(cc(Cl)cc3c1)CC2
15,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)CC2
16,Clc1cc2c3c(c(Cl)ccc3c1)CC2
17,Clc1cc2c3c(c(Cl)cc(Cl)c3c1)CC2
18,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)CC2
19,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)CC2
20,Clc1cc2c3c(cc(Cl)c(Cl)c3c1Cl)CC2
21,Clc1cc2c3c(c(Cl)ccc3c1Cl)CC2
22,Clc1cc2c3c(c(Cl)cc(Cl)c3c1Cl)CC2
23,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)CC3
24,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)CC2
25,Clc1ccc2ccc(Cl)c3c2c1CC3
26,Clc1ccc2c(Cl)cc(Cl)c3c2c1CC3
27,Clc1cc2ccc(Cl)c3c2c(c1Cl)CC3
28,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1CC3
29,Clc1cc(Cl)c2c(Cl)cc(Cl)c3c2c1CC3
30,Clc1cc2c(Cl)cc(Cl)c3c2c(c1Cl)CC3
31,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1CC3
32,Clc1cc2cc(Cl)c(Cl)c3c2c(c1Cl)CC3
33,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)CC3
34,Clc1c(Cl)c2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)CC2
35,ClC1Cc2cccc3cccc1c23
36,Clc1ccc2c3c(cccc13)C(Cl)C2
37,Clc1cc2c3c(cccc3c1)C(Cl)C2
38,Clc1cc2c3c(cccc3c1Cl)C(Cl)C2
39,Clc1ccc2cccc3c2c1CC3Cl
40,Clc1cc(Cl)c2cccc3c2c1CC3Cl
41,Clc1cc2cccc3c2c(c1Cl)CC3Cl
42,Clc1c(Cl)c2c3c(cccc3c1Cl)C(Cl)C2
43,Clc1ccc2c3c(cccc13)CC2Cl
44,Clc1ccc2c3c(ccc(Cl)c13)C(Cl)C2
45,Clc1cc2c3c(ccc(Cl)c3c1)C(Cl)C2
46,Clc1cc2c3c(ccc(Cl)c3c1Cl)C(Cl)C2
47,Clc1ccc2c(Cl)ccc3c2c1CC3Cl
