Index,SMILES
0,Clc1ccc2c3c(cccc13)C=C2
1,Clc1cc2c3c(cccc3c1)C=C2
2,Clc1cc2c3c(cccc3c1Cl)C=C2
3,Clc1ccc2cccc3c2c1C=C3
4,Clc1cc(Cl)c2cccc3c2c1C=C3
5,Clc1cc2cccc3c2c(c1Cl)C=C3
6,Clc1c(Cl)c2c3c(cccc3c1Cl)C=C2
7,ClC1=Cc2cccc3cccc1c23
8,ClC1=Cc2cccc3c(Cl)ccc1c23
9,ClC1=Cc2cccc3cc(Cl)cc1c23
10,ClC1=Cc2cccc3c(Cl)c(Cl)cc1c23
11,ClC1=Cc2cccc3ccc(Cl)c1c23
12,ClC1=Cc2cccc3c(Cl)cc(Cl)c1c23
13,ClC1=Cc2cccc3cc(Cl)c(Cl)c1c23
14,ClC1=Cc2cccc3c(Cl)c(Cl)c(Cl)c1c23
15,ClC1=Cc2ccc(Cl)c3cccc1c23
16,ClC1=Cc2cc(Cl)cc3cccc1c23
17,ClC1=Cc2cc(Cl)c(Cl)c3cccc1c23
18,ClC1=Cc2c(Cl)ccc3cccc1c23
19,ClC1=Cc2c(Cl)cc(Cl)c3cccc1c23
20,ClC1=Cc2c(Cl)c(Cl)cc3cccc1c23
21,ClC1=Cc2c(Cl)c(Cl)c(Cl)c3cccc1c23
22,ClC1=C(Cl)c2cccc3cccc1c23
23,ClC1=C(Cl)c2ccc(Cl)c3cccc1c23
24,ClC1=C(Cl)c2cc(Cl)cc3cccc1c23
25,ClC1=C(Cl)c2cc(Cl)c(Cl)c3cccc1c23
26,ClC1=C(Cl)c2c(Cl)ccc3cccc1c23
27,ClC1=C(Cl)c2c(Cl)cc(Cl)c3cccc1c23
28,ClC1=C(Cl)c2c(Cl)c(Cl)cc3cccc1c23
29,ClC1=C(Cl)c2c(Cl)c(Cl)c(Cl)c3cccc1c23
30,Clc1ccc2c(Cl)ccc3c2c1C=C3
31,Clc1cc2c3c(c(Cl)ccc3c1)C=C2
32,Clc1cc2c3c(c(Cl)ccc3c1Cl)C=C2
33,Clc1ccc2ccc(Cl)c3c2c1C=C3
34,Clc1ccc2c(Cl)cc(Cl)c3c2c1C=C3
35,Clc1cc2ccc(Cl)c3c2c(c1Cl)C=C3
36,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1C=C3
37,ClC1=Cc2c(Cl)ccc3c(Cl)ccc1c23
38,ClC1=Cc2c(Cl)ccc3cc(Cl)cc1c23
39,ClC1=Cc2c(Cl)ccc3c(Cl)c(Cl)cc1c23
40,ClC1=Cc2c(Cl)ccc3ccc(Cl)c1c23
41,ClC1=Cc2c(Cl)ccc3c(Cl)cc(Cl)c1c23
42,ClC1=Cc2c(Cl)ccc3cc(Cl)c(Cl)c1c23
43,ClC1=Cc2c(Cl)ccc3c(Cl)c(Cl)c(Cl)c1c23
44,ClC1=Cc2ccc(Cl)c3ccc(Cl)c1c23
45,ClC1=Cc2cc(Cl)cc3ccc(Cl)c1c23
46,ClC1=Cc2cc(Cl)c(Cl)c3ccc(Cl)c1c23
47,ClC1=Cc2c(Cl)cc(Cl)c3ccc(Cl)c1c23
48,ClC1=Cc2c(Cl)c(Cl)cc3ccc(Cl)c1c23
